SNR0_db,C_J_bps_hz,C_G_bps_hz,Jensen_gap_bits,C_sat,SNR_crit_db,alpha,Gamma_eff_total,sigma_2_phi_c_res_rad2,eta_bsq_avg,B_hz,f_c_hz
-3.036697e+01,8.665968e-01,8.666511e-01,-5.428000e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.976091e+01,8.869277e-01,8.869725e-01,-4.474109e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.915485e+01,9.054282e-01,9.054649e-01,-3.664234e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.854879e+01,9.221798e-01,9.222097e-01,-2.984370e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.794272e+01,9.372797e-01,9.373039e-01,-2.419318e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.733666e+01,9.508353e-01,9.508548e-01,-1.953772e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.673060e+01,9.629601e-01,9.629758e-01,-1.573098e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.612454e+01,9.737695e-01,9.737821e-01,-1.263820e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.551848e+01,9.833778e-01,9.833880e-01,-1.013902e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.491242e+01,9.918963e-01,9.919044e-01,-8.128401e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.430636e+01,9.994309e-01,9.994374e-01,-6.516468e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.370030e+01,1.006082e+00,1.006087e+00,-5.227550e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.309424e+01,1.011941e+00,1.011946e+00,-4.198780e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.248818e+01,1.017096e+00,1.017099e+00,-3.378503e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.188212e+01,1.021624e+00,1.021627e+00,-2.724678e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.127606e+01,1.025596e+00,1.025599e+00,-2.203346e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.067000e+01,1.029078e+00,1.029079e+00,-1.787257e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-2.006394e+01,1.032125e+00,1.032127e+00,-1.454652e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.945788e+01,1.034792e+00,1.034793e+00,-1.188232e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.885182e+01,1.037122e+00,1.037123e+00,-9.742850e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.824576e+01,1.039158e+00,1.039159e+00,-8.019700e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.763969e+01,1.040936e+00,1.040937e+00,-6.627275e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.703363e+01,1.042487e+00,1.042488e+00,-5.498056e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.642757e+01,1.043840e+00,1.043841e+00,-4.578792e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.582151e+01,1.045020e+00,1.045021e+00,-3.827467e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.521545e+01,1.046049e+00,1.046049e+00,-3.210893e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.460939e+01,1.046945e+00,1.046945e+00,-2.702820e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.400333e+01,1.047726e+00,1.047726e+00,-2.282437e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.339727e+01,1.048406e+00,1.048406e+00,-1.933209e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.279121e+01,1.048998e+00,1.048998e+00,-1.641955e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.218515e+01,1.049514e+00,1.049514e+00,-1.398139e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.157909e+01,1.049963e+00,1.049963e+00,-1.193304e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.097303e+01,1.050354e+00,1.050354e+00,-1.020637e-07,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-1.036697e+01,1.050694e+00,1.050694e+00,-8.746281e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-9.760907e+00,1.050990e+00,1.050990e+00,-7.507995e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-9.154846e+00,1.051247e+00,1.051247e+00,-6.454993e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-8.548785e+00,1.051471e+00,1.051472e+00,-5.557342e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-7.942725e+00,1.051666e+00,1.051667e+00,-4.790406e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-7.336664e+00,1.051836e+00,1.051836e+00,-4.133819e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.730604e+00,1.051984e+00,1.051984e+00,-3.570675e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.124543e+00,1.052112e+00,1.052112e+00,-3.086883e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.518482e+00,1.052224e+00,1.052224e+00,-2.670650e-08,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
